lake,Date,site,depth,CO2_mmolm3,CH4_mmolm3
TOOK,2016-09-10,outlet,NA,NA,NA
TOOK,2016-09-10,inlet,NA,NA,NA
TOOK,2016-09-10,buoy,c0,NA,NA
TOOK,2016-11-07,buoy,c0,NA,NA
TOOK,2016-12-06,buoy,c0,NA,NA
TOOK,2017-01-10,buoy,c0,NA,NA
TOOK,2017-02-07,buoy,c0,NA,NA
TOOK,2017-03-07,buoy,c0,NA,NA
TOOK,2017-04-03,buoy,c0,NA,NA
TOOK,2017-04-29,buoy,c0,90,0.0295
TOOK,2017-06-06,inlet,NA,50.9,0.0748
TOOK,2017-06-27,buoy,c1,32.2,0.0687
TOOK,2017-06-27,buoy,c2,115,0.196
TOOK,2017-06-27,outlet,NA,30.8,0.102
TOOK,2017-06-28,inlet,NA,63.7,0.0426
TOOK,2017-07-04,inlet,NA,82.2,0.0306
TOOK,2017-07-05,buoy,c1,34,0.0529
TOOK,2017-07-05,buoy,c2,117,0.172
TOOK,2017-07-05,outlet,NA,24,0.084
TOOK,2017-08-02,inlet,NA,56.3,0.0694
TOOK,2017-08-02,outlet,NA,39.3,0.0775
TOOK,2017-08-02,buoy,c1,35.4,0.0647
TOOK,2017-08-02,buoy,c2,66.6,0.0835
TOOK,2017-09-06,buoy,c0,39.1,0.0785
TOOK,2017-09-06,outlet,NA,52.1,0.0853
TOOK,2017-09-06,inlet,NA,135,0.0761
TOOK,2017-11-07,buoy,c0,50.3,0.0691
TOOK,2017-12-05,buoy,c0,NA,NA
TOOK,2018-01-09,buoy,c0,43.9,0.0023
TOOK,2018-02-13,buoy,c0,121,0.0201
TOOK,2018-03-06,buoy,c0,138,0.0242
TOOK,2018-04-03,buoy,c0,93.4,0.0179
TOOK,2018-05-01,buoy,c0,142,0.0144
TOOK,2018-06-05,buoy,c0,33.3,0.0292
TOOK,2018-06-05,outlet,NA,43.4,0.127
TOOK,2018-06-05,inlet,NA,65.7,0.131
TOOK,2018-07-03,buoy,c1,39.2,0.1
TOOK,2018-07-03,buoy,c2,NA,NA
TOOK,2018-07-03,outlet,NA,42.3,0.0989
TOOK,2018-07-03,inlet,NA,46.3,0.0788
TOOK,2018-08-07,inlet,NA,NA,NA
TOOK,2018-08-07,outlet,NA,NA,NA
TOOK,2018-08-07,buoy,c1,NA,NA
TOOK,2018-09-04,buoy,c0,59.4,0.0834
TOOK,2018-09-04,outlet,NA,45.3,0.0602
TOOK,2018-09-04,inlet,NA,54.9,0.106
TOOK,2018-10-02,inlet,NA,NA,NA
TOOK,2018-10-02,outlet,NA,62,0.0695
TOOK,2018-10-02,buoy,c0,43.7,0.0441
TOOK,2018-11-06,outlet,NA,NA,NA
TOOK,2018-11-06,buoy,c0,NA,NA
TOOK,2018-11-06,inlet,NA,NA,NA
TOOK,2018-12-04,buoy,c0,NA,NA
TOOK,2019-02-05,buoy,c0,NA,NA
TOOK,2019-03-05,buoy,c0,NA,NA
