"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","1984","654.0",,,
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","1985","541.8",,,
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","1986","597.3",,,
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","1987","671.3",,,
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","1988","570.0",,,
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","1989","605.7",,,
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","1990","450.8",,,
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","1991","508.3",,,
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","1992","646.2",,,
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","1993","708.2",,,
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","1997","634.8",,,
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","1998","704.3",,,
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","1999","608.3",,,
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","2000","569.1",,,
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","2002","579.3",,,
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","2003","714.7",,,
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","2004","422.3",,,
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","2005","493.6",,,
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","2006","693.5",,,
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","2007","439.7","-7.5","-4.3","-10.6"
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","2008","467.4",,,
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","2009","523.4","-8.9","-5.5","-12.4"
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","2010","660.8","-7.2","-3.9","-10.6"
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","2011","607.1","-8.2","-5.0","-11.4"
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","2012","610.7","-9.6","-6.5","-12.6"
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","2013","445.0","-9.1","-5.8","-12.3"
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","2014","673.3","-7.0","-4.0","-10.1"
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","2015","468.4","-7.2","-4.2","-10.3"
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","2016","516.3","-6.3","-3.3","-9.4"
"USS0049T03S","ATIGUN PASS, AK US","68.13","-149.48","1463.0","2017","687.0","-7.0","-3.9","-10.1"
